ZIP,ZIPCODE,PREFERRED_CITY
"98,004",98004,BELLEVUE
"98,005",98005,BELLEVUE
"98,006",98006,BELLEVUE
"98,007",98007,BELLEVUE
"98,008",98008,BELLEVUE
"98,033",98033,KIRKLAND
"98,034",98034,KIRKLAND
"98,039",98039,MEDINA
"98,040",98040,MERCER ISLAND
"98,052",98052,REDMOND
"98,056",98056,RENTON
"98,059",98059,RENTON
"98,105",98105,SEATTLE
"98,112",98112,SEATTLE
"98,115",98115,SEATTLE
"98,118",98118,SEATTLE
"98,122",98122,SEATTLE
"98,125",98125,SEATTLE
"98,144",98144,SEATTLE
"98,195",98195,SEATTLE